SaleID,CustomerID,ProductID,SaleDate,Quantity,SalesRep
71,247,31,2024-11-21,9,Lisa Gonzalez
72,233,94,2024-12-09,5,Ashley Williams
73,27,85,2024-06-10,2,Elizabeth Kim
74,217,50,2025-07-13,6,Daniel Gonzalez
75,58,21,2023-02-12,7,Christopher Johnson
76,447,49,2023-10-06,10,Debra Ruiz
77,151,16,2022-10-28,4,Cindy Clark
78,283,69,2021-09-25,5,Christine Rios
79,300,72,2023-08-06,6,Christine Rios
80,73,41,2022-11-15,7,Rodney Johnson
81,272,93,2024-09-01,4,Brian Smith
82,268,59,2023-04-12,8,Lisa Gonzalez
83,85,10,2025-01-18,4,Benjamin Figueroa
84,464,73,2025-08-12,8,David Evans
85,40,36,2023-11-06,8,Ashley Williams
86,423,89,2024-12-28,7,Joyce Harris
87,209,8,2023-04-28,5,Daniel Gonzalez
88,52,50,2025-07-25,10,Brian Smith
89,96,78,2023-06-24,6,Christopher Johnson
90,267,92,2024-02-28,1,Misty Torres
91,486,55,2023-04-24,10,Lisa Gonzalez
92,124,47,2023-03-24,6,Elizabeth Kim
93,162,97,2024-08-08,2,Elizabeth Kim
94,240,4,2024-09-17,3,Erika Stanley
95,135,78,2025-06-09,4,Nicole Winters
96,276,38,2022-03-05,6,Tony Diaz
97,483,92,2021-10-09,10,Nicole Winters
98,167,80,2024-12-01,6,Rodney Johnson
99,306,51,2021-12-10,4,Nicole Winters
100,354,78,2024-11-19,7,Erika Stanley
101,194,25,2025-06-05,4,Lisa Gonzalez
102,493,12,2024-10-01,8,Debra Ruiz
103,244,68,2022-11-03,10,Debra Ruiz
104,320,8,2021-09-17,9,Rodney Johnson
105,304,72,2022-02-20,4,Brian Smith
106,270,39,2025-01-18,10,Misty Torres
107,151,85,2023-08-22,6,Jerry Lucero
108,310,54,2025-06-05,9,Brian Smith
109,94,12,2021-09-22,4,Kirk Alvarez
110,372,88,2022-01-28,9,Matthew Howe
111,478,66,2024-01-12,5,Elizabeth Kim
112,100,32,2024-01-12,3,George Hamilton MD
113,297,56,2024-05-05,6,Cindy Clark
114,205,44,2021-10-31,3,George Hamilton MD
115,49,6,2023-01-05,9,David Russell
116,491,70,2025-07-03,2,Tony Diaz
117,438,93,2024-09-25,7,David Russell
118,119,99,2024-07-23,10,Benjamin Figueroa
119,369,20,2024-06-18,9,Jerry Lucero
120,277,23,2021-12-15,10,Christopher Johnson
121,306,57,2023-02-28,5,Joyce Harris
122,401,32,2021-11-02,2,Angela Smith
123,427,84,2025-07-04,3,Misty Torres
124,450,41,2023-01-14,10,David Russell
125,119,41,2023-08-23,3,George Hamilton MD
126,383,81,2023-11-21,2,David Evans
127,59,3,2024-08-02,6,Angela Smith
128,475,49,2023-11-12,7,Misty Torres
129,110,41,2022-02-21,4,David Russell
130,204,63,2024-09-19,3,Erika Stanley
131,190,98,2024-06-04,9,Joyce Harris
132,413,63,2023-06-25,10,David Evans
133,66,52,2023-06-11,1,Debra Ruiz
134,340,69,2024-06-07,6,Thomas Tucker
135,327,11,2022-11-09,7,Jill Bonilla
136,410,17,2024-09-16,5,Kirk Alvarez
137,45,74,2024-10-14,2,Tiffany Page
138,233,4,2022-03-31,8,David Foley
139,9,17,2024-07-17,4,Benjamin Figueroa
140,407,50,2025-08-03,3,David Foley
141,99,43,2022-09-01,4,Joseph Miller
142,389,98,2023-01-14,6,Joyce Harris
143,423,51,2022-01-28,8,Ashley Williams
144,296,27,2024-11-17,6,Erika Stanley
145,363,16,2025-09-03,7,Ashley Williams
146,433,48,2023-06-14,1,Erika Stanley
147,74,99,2021-10-29,6,Joyce Harris
148,252,48,2023-03-11,10,Benjamin Figueroa
149,315,15,2022-08-09,5,Joyce Harris
150,96,25,2023-04-21,10,Joyce Harris
151,473,65,2025-01-19,6,Joseph Miller
152,231,16,2023-09-03,1,Thomas Tucker
153,486,17,2021-09-17,7,Lisa Gonzalez
154,52,90,2024-02-01,8,Brian Smith
155,200,4,2022-04-09,7,Rodney Johnson
156,92,92,2021-12-13,4,Kirk Alvarez
157,465,99,2022-11-14,7,Ashley Williams
158,470,47,2024-07-30,9,Kirk Alvarez
159,28,32,2024-05-10,10,Rodney Johnson
160,224,40,2022-08-02,8,Joyce Harris
161,145,56,2022-03-08,4,Nicole Winters
162,116,17,2024-03-31,9,Thomas Tucker
163,383,58,2024-10-06,3,Kirk Alvarez
164,343,78,2022-04-09,7,George Hamilton MD
165,416,45,2024-12-03,6,Cindy Clark
166,133,52,2022-09-05,8,Christopher Johnson
167,472,24,2022-05-13,7,Rodney Johnson
168,170,25,2022-10-19,8,Kirk Alvarez
169,96,100,2022-10-05,10,Ashley Williams
170,350,42,2022-09-21,6,Joyce Harris
171,410,99,2023-05-10,5,Larry Medina
172,326,43,2022-07-25,5,Tiffany Page
173,314,30,2022-09-24,2,Rodney Johnson
174,345,65,2023-10-04,8,Brian Smith
175,140,11,2022-09-03,5,Tiffany Page
176,72,78,2021-10-16,7,Misty Torres
177,20,38,2024-03-17,6,Daniel Gonzalez
178,394,52,2021-12-22,8,Ashley Williams
179,72,69,2022-02-22,2,Christopher Johnson
180,61,1,2022-07-10,10,Jerry Lucero
181,44,75,2021-10-17,9,Matthew Howe
182,492,14,2025-05-02,9,Rodney Johnson
183,292,87,2021-12-16,2,Angela Smith
184,247,84,2023-08-10,7,Brian Smith
185,177,5,2025-07-04,10,Tiffany Page
186,264,16,2025-06-13,1,David Evans
187,128,25,2025-08-31,4,Erika Stanley
188,116,98,2022-01-25,5,Brian Smith
189,392,91,2024-03-09,7,Benjamin Figueroa
190,278,82,2022-05-31,8,Thomas Tucker
191,294,15,2024-01-27,4,Debra Ruiz
192,259,73,2022-01-30,10,Debra Ruiz
193,125,6,2023-09-22,7,Joseph Miller
194,280,71,2023-03-28,1,Erika Stanley
195,374,73,2023-07-04,9,David Evans
196,112,3,2021-11-19,8,Thomas Tucker
197,250,3,2024-06-02,7,Angela Smith
198,25,62,2025-06-24,5,George Hamilton MD
199,206,89,2024-06-22,7,Thomas Tucker
200,288,74,2024-08-10,10,Daniel Gonzalez
201,481,57,2023-04-06,4,Jerry Lucero
202,121,43,2024-03-04,5,Jill Bonilla
203,260,57,2024-08-21,3,George Hamilton MD
204,327,68,2023-08-14,9,Rodney Johnson
205,387,42,2025-04-14,4,Elizabeth Kim
206,457,37,2021-11-09,6,Tiffany Page
207,115,15,2022-05-13,6,Brian Smith
208,266,31,2025-02-08,3,Joseph Miller
209,450,60,2025-05-28,4,Brian Smith
210,449,66,2024-07-03,5,David Evans
211,88,34,2023-01-26,7,Daniel Gonzalez
212,29,22,2023-10-21,10,Joseph Miller
213,465,62,2023-03-07,6,Brian Smith
214,371,50,2023-05-20,5,Angela Smith
215,243,30,2025-04-10,4,George Hamilton MD
216,433,43,2022-05-01,6,Jerry Lucero
217,325,44,2024-01-13,2,Jerry Lucero
218,72,59,2025-05-08,1,Thomas Tucker
219,82,2,2025-02-12,2,Rodney Johnson
220,104,11,2023-04-11,3,Debra Ruiz
221,400,28,2023-07-29,7,Cindy Clark
222,493,86,2024-05-16,3,Cindy Clark
223,221,65,2022-07-04,5,Daniel Gonzalez
224,301,54,2023-07-01,2,Parker Hayes
225,120,31,2023-08-30,1,Daniel Gonzalez
226,252,43,2024-06-07,10,Joseph Miller
227,45,58,2024-01-01,6,David Foley
228,250,37,2025-02-09,2,Brian Smith
229,83,19,2023-01-18,8,Jill Bonilla
230,72,19,2025-07-08,4,Debra Ruiz
231,205,22,2024-05-16,9,David Russell
232,152,86,2021-09-18,10,Christine Rios
233,153,38,2023-09-03,9,Kirk Alvarez
234,184,39,2024-09-25,7,Debra Ruiz
235,408,19,2022-05-18,1,Joyce Harris
236,289,16,2021-11-03,7,Misty Torres
237,164,24,2022-07-22,2,George Hamilton MD
238,92,41,2025-01-26,8,Nicole Winters
239,430,32,2022-12-24,5,David Evans
240,415,92,2025-07-20,4,Tiffany Page
241,26,9,2025-03-28,3,Benjamin Figueroa
242,280,77,2022-06-10,8,Angela Smith
243,2,12,2023-12-19,4,Jill Bonilla
244,261,61,2022-05-29,4,Tony Diaz
245,415,94,2023-05-15,4,Lisa Gonzalez
246,255,29,2023-01-02,8,Brian Smith
247,263,38,2022-11-15,6,Joyce Harris
248,462,49,2023-02-14,9,David Russell
249,83,48,2025-07-01,6,Daniel Gonzalez
250,305,81,2021-12-13,8,Cindy Clark
251,484,89,2022-08-10,7,Jill Bonilla
252,432,65,2023-05-31,2,Debra Ruiz
253,261,56,2022-01-01,2,Jill Bonilla
254,107,32,2024-04-08,1,Rodney Johnson
255,254,17,2022-03-23,6,Ashley Williams
256,196,31,2024-11-07,7,Benjamin Figueroa
257,3,14,2022-01-21,2,Lisa Gonzalez
258,404,80,2024-03-01,6,George Hamilton MD
259,9,100,2024-07-02,4,Larry Medina
260,272,12,2022-12-13,3,Jill Bonilla
261,97,84,2022-07-08,10,Misty Torres
262,32,51,2023-04-05,2,Jill Bonilla
263,347,73,2024-11-14,9,Daniel Gonzalez
264,334,7,2023-05-20,1,Joseph Miller
265,93,17,2025-01-05,6,Matthew Howe
266,324,64,2023-07-31,7,Angela Smith
267,16,94,2022-11-25,5,Angela Smith
268,314,78,2023-04-16,10,Parker Hayes
269,445,18,2024-09-16,2,Rodney Johnson
270,184,71,2022-05-21,8,David Russell
271,253,21,2024-02-15,7,David Evans
272,417,41,2024-05-11,7,Joyce Harris
273,233,64,2022-10-03,8,Kirk Alvarez
274,133,7,2023-12-01,4,Ashley Williams
275,340,56,2022-08-29,5,Matthew Howe
276,362,1,2023-05-28,3,Tiffany Page
277,376,13,2024-03-25,3,Christine Rios
278,335,33,2023-12-21,4,David Russell
279,478,90,2022-03-07,2,Joseph Miller
280,208,47,2025-04-30,5,Tiffany Page
281,443,23,2023-10-19,1,Jill Bonilla
282,303,71,2022-08-04,2,Kirk Alvarez
283,177,34,2024-04-04,1,Ashley Williams
284,9,39,2023-04-22,7,Elizabeth Kim
285,222,60,2025-01-17,6,Daniel Gonzalez
286,206,73,2024-01-28,2,Parker Hayes
287,151,70,2024-03-27,4,Tony Diaz
288,30,16,2022-10-02,7,Larry Medina
289,271,83,2024-02-01,8,George Hamilton MD
290,487,53,2022-08-01,7,Angela Smith
291,419,18,2024-05-03,5,Christine Rios
292,313,66,2023-08-07,8,David Russell
293,469,44,2025-08-12,3,David Evans
294,2,72,2021-10-10,2,George Hamilton MD
295,456,28,2024-04-11,6,Daniel Gonzalez
296,305,29,2025-01-09,3,Parker Hayes
297,352,64,2024-12-08,5,Thomas Tucker
298,244,48,2024-12-31,9,Matthew Howe
299,484,100,2023-11-27,9,Parker Hayes
300,222,89,2022-04-26,2,Jerry Lucero
301,43,12,2025-04-25,5,David Evans
302,235,86,2025-08-17,4,Nicole Winters
303,451,98,2024-01-17,3,Parker Hayes
304,248,21,2022-02-15,3,Matthew Howe
305,157,35,2025-01-12,3,Debra Ruiz
306,464,88,2024-04-06,4,Kirk Alvarez
307,284,47,2024-03-07,4,George Hamilton MD
308,478,13,2022-02-18,5,Kirk Alvarez
309,73,78,2022-11-24,9,Erika Stanley
310,152,30,2025-05-27,3,Matthew Howe
311,385,90,2024-06-30,1,David Foley
312,16,87,2024-11-09,1,Jill Bonilla
313,240,88,2023-09-01,7,Ashley Williams
314,2,7,2022-05-27,3,Jerry Lucero
315,275,30,2021-10-08,5,David Russell
316,15,6,2024-05-23,9,Angela Smith
317,455,19,2021-10-16,3,Joyce Harris
318,32,3,2025-09-06,3,Daniel Gonzalez
319,237,51,2022-03-01,6,George Hamilton MD
320,371,41,2024-02-28,2,Brian Smith
321,25,38,2025-07-31,10,David Foley
322,488,70,2023-05-06,6,Misty Torres
323,424,48,2022-06-15,5,Misty Torres
324,11,20,2024-06-15,3,George Hamilton MD
325,488,27,2024-11-25,1,Tiffany Page
326,39,11,2022-01-23,8,Thomas Tucker
327,373,12,2023-07-01,10,George Hamilton MD
328,127,82,2025-01-13,4,David Russell
329,304,78,2023-11-20,1,Larry Medina
330,483,66,2024-04-18,7,Christopher Johnson
331,267,28,2024-08-19,7,Angela Smith
332,127,72,2024-08-24,5,Christopher Johnson
333,37,17,2025-07-07,7,Ashley Williams
334,19,34,2025-05-29,1,Ashley Williams
335,368,28,2022-10-16,6,Parker Hayes
336,274,64,2022-02-18,3,Elizabeth Kim
337,401,58,2025-05-19,8,Daniel Gonzalez
338,98,64,2023-03-06,5,Misty Torres
339,486,7,2025-01-15,6,Larry Medina
340,246,60,2023-05-24,4,Matthew Howe
341,267,68,2025-03-17,5,Debra Ruiz
342,336,75,2024-01-18,4,Lisa Gonzalez
343,153,29,2022-03-01,6,Thomas Tucker
344,276,54,2023-05-22,6,Benjamin Figueroa
345,295,97,2024-06-05,3,Tiffany Page
346,393,25,2022-11-07,1,David Russell
347,254,91,2023-11-14,10,Christopher Johnson
348,207,59,2024-10-19,3,Christine Rios
349,355,66,2022-02-15,3,Parker Hayes
350,187,43,2022-09-01,4,Jerry Lucero
351,409,16,2022-11-26,9,Tony Diaz
352,177,17,2023-09-13,10,Joseph Miller
353,34,60,2025-04-03,1,Nicole Winters
354,414,74,2023-10-27,6,Debra Ruiz
355,405,44,2024-09-21,1,Kirk Alvarez
356,1,67,2023-09-21,9,Jerry Lucero
357,394,10,2024-06-17,5,Lisa Gonzalez
358,422,78,2023-01-22,7,Cindy Clark
359,165,96,2024-08-07,4,Thomas Tucker
360,374,35,2022-09-28,6,Parker Hayes
361,53,88,2023-12-07,3,Ashley Williams
362,377,73,2022-11-12,1,Parker Hayes
363,183,67,2025-02-19,6,Joseph Miller
364,205,62,2025-08-08,8,Angela Smith
365,305,80,2024-01-05,1,George Hamilton MD
366,491,73,2022-08-14,3,Nicole Winters
367,345,50,2025-03-04,5,Cindy Clark
368,326,12,2023-03-19,9,Jerry Lucero
369,33,46,2024-12-28,3,Rodney Johnson
370,402,54,2024-09-13,2,Ashley Williams
371,177,20,2023-11-22,8,Misty Torres
372,180,8,2023-03-19,4,Joyce Harris
373,162,70,2022-11-01,4,Cindy Clark
374,94,94,2022-07-29,2,David Foley
375,358,52,2023-03-26,9,Misty Torres
376,26,75,2024-01-17,9,Elizabeth Kim
377,393,32,2025-08-21,1,George Hamilton MD
378,300,58,2023-12-09,7,Thomas Tucker
379,420,3,2024-05-26,9,Jill Bonilla
380,85,23,2025-01-26,4,Rodney Johnson
381,226,54,2024-01-01,6,Nicole Winters
382,265,68,2024-11-05,8,Tony Diaz
383,357,71,2024-06-24,6,Lisa Gonzalez
384,440,71,2022-03-24,2,Tony Diaz
385,294,41,2025-02-14,1,David Evans
386,97,73,2021-12-04,5,Rodney Johnson
387,113,28,2022-01-26,7,Joseph Miller
388,481,22,2023-08-31,7,Rodney Johnson
389,311,47,2025-01-16,9,Jill Bonilla
390,321,45,2023-03-20,5,George Hamilton MD
391,182,49,2022-07-31,1,Brian Smith
392,163,85,2023-04-25,2,David Evans
393,174,5,2021-12-11,9,Nicole Winters
394,121,54,2023-10-07,2,Cindy Clark
395,266,95,2022-10-23,2,Angela Smith
396,392,99,2024-10-29,9,Erika Stanley
397,362,24,2022-09-14,1,Christine Rios
398,229,70,2025-05-19,7,Joseph Miller
399,242,26,2022-04-25,2,Erika Stanley
400,467,100,2024-12-16,10,Rodney Johnson
401,182,97,2022-10-30,8,David Russell
402,476,28,2023-02-07,5,Lisa Gonzalez
403,270,99,2023-05-15,4,Jerry Lucero
404,450,86,2022-03-04,4,David Russell
405,338,34,2022-03-14,10,Debra Ruiz
406,109,7,2025-07-26,3,Nicole Winters
407,225,47,2022-07-30,6,Christopher Johnson
408,63,100,2023-12-16,2,Nicole Winters
409,344,62,2023-07-08,8,Jerry Lucero
410,309,52,2023-03-27,7,Erika Stanley
411,328,38,2022-12-14,10,Nicole Winters
412,39,75,2023-05-20,1,Debra Ruiz
413,22,72,2025-06-05,3,David Foley
414,130,91,2025-02-01,3,Jerry Lucero
415,50,74,2025-06-23,10,David Foley
416,86,90,2024-12-21,3,George Hamilton MD
417,22,6,2024-07-24,7,George Hamilton MD
418,226,21,2022-10-30,6,Tony Diaz
419,315,20,2021-11-14,10,Christine Rios
420,246,39,2022-02-26,10,Angela Smith
421,437,38,2024-10-20,6,Cindy Clark
422,358,9,2025-01-26,1,Brian Smith
423,33,68,2023-03-31,7,Ashley Williams
424,293,34,2025-07-02,2,Jill Bonilla
425,195,8,2022-01-13,2,David Foley
426,64,80,2024-12-19,10,Tony Diaz
427,132,10,2022-09-02,2,Jerry Lucero
428,420,73,2024-06-05,6,Elizabeth Kim
429,33,33,2024-07-20,8,Christine Rios
430,107,80,2023-12-26,8,Tiffany Page
431,130,62,2024-09-25,3,Kirk Alvarez
432,396,5,2023-11-01,4,Tiffany Page
433,426,77,2024-10-22,7,Tiffany Page
434,193,90,2024-12-22,4,Larry Medina
435,144,27,2024-03-08,4,Thomas Tucker
436,452,61,2025-07-11,1,Daniel Gonzalez
437,398,19,2022-04-24,5,Misty Torres
438,411,68,2021-10-03,2,David Evans
439,268,64,2022-12-15,9,David Evans
440,241,45,2025-08-12,10,Misty Torres
441,251,50,2024-08-01,3,Debra Ruiz
442,5,84,2022-08-07,10,Tony Diaz
443,345,98,2023-04-07,1,Lisa Gonzalez
444,202,86,2023-08-05,7,Joyce Harris
445,25,49,2021-09-25,10,David Evans
446,337,44,2022-06-10,8,Christopher Johnson
447,440,9,2022-03-02,1,Daniel Gonzalez
448,423,43,2024-02-23,1,George Hamilton MD
449,156,70,2025-03-15,5,David Evans
450,31,76,2024-04-20,6,David Foley
451,322,51,2024-09-07,5,David Foley
452,379,77,2025-03-12,1,Misty Torres
453,500,19,2024-02-10,5,Tony Diaz
454,479,71,2023-01-05,5,Christine Rios
455,329,85,2025-06-14,2,Ashley Williams
456,120,75,2022-12-14,1,Tony Diaz
457,196,81,2022-03-18,9,Daniel Gonzalez
458,353,48,2025-09-02,8,Daniel Gonzalez
459,151,36,2024-06-23,2,Rodney Johnson
460,190,59,2023-05-15,9,Kirk Alvarez
461,244,9,2023-07-19,1,Jill Bonilla
462,160,68,2023-04-29,2,Jerry Lucero
463,498,91,2024-12-18,6,Brian Smith
464,187,18,2024-12-06,9,Joseph Miller
465,198,42,2023-04-23,7,Daniel Gonzalez
466,146,58,2025-01-09,8,David Evans
467,331,77,2022-07-21,3,George Hamilton MD
468,429,91,2022-04-21,9,Angela Smith
469,333,65,2022-10-20,5,Cindy Clark
470,260,69,2022-12-17,9,Jill Bonilla
471,139,23,2024-09-02,4,Tiffany Page
472,481,87,2022-06-06,7,Daniel Gonzalez
473,124,26,2023-06-16,10,Kirk Alvarez
474,114,15,2022-04-01,8,Daniel Gonzalez
475,325,33,2024-12-07,9,Elizabeth Kim
476,263,51,2022-09-03,4,David Foley
477,117,73,2024-11-30,5,Benjamin Figueroa
478,17,62,2025-08-29,1,David Russell
479,497,67,2025-07-01,5,Elizabeth Kim
480,279,21,2022-04-14,5,Misty Torres
481,77,62,2023-04-20,8,Joyce Harris
482,196,28,2023-05-23,8,George Hamilton MD
483,103,4,2024-09-24,8,Joyce Harris
484,478,16,2023-03-20,6,Christine Rios
485,496,24,2021-11-09,7,Thomas Tucker
486,79,95,2023-11-15,5,Nicole Winters
487,124,50,2022-03-25,8,Christopher Johnson
488,104,31,2024-04-28,9,Kirk Alvarez
489,73,63,2022-09-16,7,Christopher Johnson
490,53,92,2025-06-15,7,Tony Diaz
491,140,41,2021-11-05,8,Benjamin Figueroa
492,299,37,2025-04-06,2,Jill Bonilla
493,228,97,2022-01-01,8,Ashley Williams
494,225,17,2025-09-01,7,Ashley Williams
495,311,24,2025-02-23,2,Rodney Johnson
496,185,62,2021-10-30,8,Larry Medina
497,471,31,2021-10-24,4,Benjamin Figueroa
498,95,7,2023-03-23,8,Thomas Tucker
499,108,56,2024-06-19,3,Nicole Winters
500,112,80,2023-01-03,8,Misty Torres
501,262,88,2024-12-04,8,Rodney Johnson
502,495,81,2021-11-08,9,Ashley Williams
503,170,28,2025-07-29,2,Lisa Gonzalez
504,302,31,2024-07-23,5,Kirk Alvarez
505,209,84,2023-01-07,1,Brian Smith
506,401,39,2025-02-28,1,Angela Smith
507,137,95,2024-02-15,2,Benjamin Figueroa
508,103,32,2024-09-12,8,Brian Smith
509,107,39,2022-12-21,3,David Evans
510,55,8,2022-05-17,7,Christopher Johnson
511,446,58,2024-08-14,2,Joyce Harris
512,4,38,2024-09-01,6,Ashley Williams
513,453,84,2022-11-29,2,Tony Diaz
514,118,56,2025-09-12,7,Nicole Winters
515,249,41,2022-01-12,10,Matthew Howe
516,201,49,2023-02-06,1,Debra Ruiz
517,230,12,2025-09-02,9,Kirk Alvarez
518,93,98,2025-04-02,9,Christine Rios
519,288,82,2022-04-24,5,Parker Hayes
520,150,50,2025-04-18,1,David Evans
521,29,91,2024-01-11,8,Daniel Gonzalez
522,468,31,2022-04-09,2,Thomas Tucker
523,115,31,2025-05-13,8,Jerry Lucero
524,227,9,2024-05-21,8,Jill Bonilla
525,267,49,2022-03-24,2,Jill Bonilla
526,173,65,2022-02-09,6,Nicole Winters
527,250,68,2025-04-29,4,Christine Rios
528,306,87,2022-08-06,8,Cindy Clark
529,95,87,2023-04-08,6,David Russell
530,385,65,2025-08-14,4,Elizabeth Kim
531,308,68,2021-12-11,2,Thomas Tucker
532,386,74,2025-09-11,10,Tiffany Page
533,178,4,2023-09-02,10,Tiffany Page
534,262,60,2022-01-20,2,Larry Medina
535,471,92,2023-01-13,7,Tony Diaz
536,208,9,2023-09-27,2,Daniel Gonzalez
537,243,17,2021-09-15,4,Joseph Miller
538,80,45,2024-10-15,8,David Foley
539,22,33,2025-01-10,9,Larry Medina
540,388,60,2023-10-16,5,David Foley
541,463,34,2024-01-19,1,Brian Smith
542,480,19,2025-06-24,10,Christine Rios
543,384,90,2024-07-21,3,Matthew Howe
544,432,82,2021-12-25,10,Joyce Harris
545,275,84,2025-08-20,8,Christopher Johnson
546,245,76,2022-03-07,6,Benjamin Figueroa
547,471,69,2024-03-21,4,Erika Stanley
548,439,33,2024-04-24,10,Joseph Miller
549,428,48,2021-10-12,3,Nicole Winters
550,207,95,2025-03-17,3,David Evans
551,325,66,2023-12-03,4,Erika Stanley
552,21,34,2023-06-07,3,Lisa Gonzalez
553,433,54,2023-06-01,1,Jerry Lucero
554,369,24,2022-08-04,10,Nicole Winters
555,431,30,2025-04-05,7,Erika Stanley
556,6,53,2023-04-14,6,Rodney Johnson
557,419,36,2024-06-04,3,Benjamin Figueroa
558,372,21,2024-09-01,3,Thomas Tucker
559,48,23,2021-09-22,5,Nicole Winters
560,395,30,2022-11-25,6,Misty Torres
561,151,52,2024-07-29,10,Erika Stanley
562,243,9,2024-10-05,3,Lisa Gonzalez
563,411,90,2025-03-15,1,Matthew Howe
564,215,54,2022-04-11,10,Benjamin Figueroa
565,319,89,2025-01-28,7,Joseph Miller
566,473,8,2022-10-24,1,Kirk Alvarez
567,55,41,2022-03-17,7,Tony Diaz
568,380,74,2024-07-20,5,Daniel Gonzalez
569,379,10,2025-03-12,6,Daniel Gonzalez
570,494,38,2024-12-14,1,Lisa Gonzalez
571,79,6,2024-04-18,2,Jerry Lucero
572,186,20,2022-03-13,9,Elizabeth Kim
573,67,8,2024-11-07,3,Joseph Miller
574,113,9,2022-08-04,5,Jill Bonilla
575,50,16,2025-09-05,8,Jerry Lucero
576,483,1,2025-05-10,10,Thomas Tucker
577,255,43,2023-05-06,3,Jerry Lucero
578,360,41,2023-09-06,2,Joyce Harris
579,418,84,2025-07-06,6,Elizabeth Kim
580,432,49,2023-02-14,6,Matthew Howe
581,499,74,2022-06-30,8,Joyce Harris
582,417,32,2023-01-24,7,Cindy Clark
583,110,87,2023-09-23,1,Nicole Winters
584,414,60,2024-05-05,4,Ashley Williams
585,371,71,2023-08-10,4,David Russell
586,248,76,2022-02-15,1,Misty Torres
587,373,100,2024-10-13,5,Rodney Johnson
588,46,30,2023-05-03,10,Christopher Johnson
589,187,73,2022-05-27,8,Benjamin Figueroa
590,36,65,2023-09-10,5,Daniel Gonzalez
591,78,41,2023-07-13,3,Christine Rios
592,169,10,2023-01-25,9,Nicole Winters
593,223,3,2023-04-28,6,Larry Medina
594,345,19,2023-08-13,4,Joseph Miller
595,146,92,2023-11-21,3,Christine Rios
596,368,17,2025-06-02,4,Nicole Winters
597,213,14,2023-06-22,3,Erika Stanley
598,259,31,2022-08-24,10,Erika Stanley
599,483,75,2022-08-28,2,Elizabeth Kim
